batsman,innings,mean_runs,std_runs,cv
AS Yadav,35,28.885714285714286,20.852100230758854,0.7218827973061918
MS Dhoni,170,26.33529411764706,19.340898236316196,0.7344098057122522
R Dravid,82,26.51219512195122,19.519691799858354,0.7362533245576748
SPD Smith,72,28.430555555555557,21.0912346715099,0.7418509508298547
F du Plessis,64,29.28125,21.833037984189183,0.7456320336115836
JP Duminy,75,27.213333333333335,20.45449354802769,0.7516349907408508
SR Tendulkar,78,29.923076923076923,22.656537275556506,0.7571593433990605
ML Hayden,32,34.59375,26.45734165443223,0.7648012041028287
LMP Simmons,29,37.206896551724135,29.24451024227188,0.7859970315346474
V Shankar,27,21.25925925925926,16.794212814109034,0.7899716828936305
KP Pietersen,36,27.805555555555557,22.021832601105455,0.7919939796601362
KL Rahul,58,34.706896551724135,27.88133288659225,0.8033369634487584
SE Marsh,69,36.072463768115945,29.014863757056997,0.8043493769533678
S Dhawan,158,29.31645569620253,23.63848977457878,0.8063215423971173
RV Uthappa,170,26.152941176470588,21.105542547149486,0.8070045508356753
DA Warner,126,37.62698412698413,30.51366490659137,0.810951651177075
CA Lynn,41,31.902439024390244,25.89092976125885,0.8115658411403768
N Rana,41,26.926829268292682,21.967464855898186,0.8158207056991175
KS Williamson,41,32.170731707317074,26.3029489211993,0.817604932349637
SK Raina,189,28.650793650793652,23.53369612046038,0.821397703927426
HH Gibbs,36,24.61111111111111,20.499864498197162,0.832951604892887
JC Buttler,45,31.8,26.513804294778563,0.8337674306534139
V Kohli,169,32.15384615384615,26.963820557324944,0.8385877206823548
Yuvraj Singh,126,21.944444444444443,18.466967506574786,0.8415326965021422
A Symonds,36,27.055555555555557,22.88723217921723,0.8459346596014581
PA Patel,136,21.13235294117647,18.001155857345267,0.8518292263740279
DJ Hussey,61,21.672131147540984,18.48487788389509,0.8529330944913771
SA Asnodkar,19,22.263157894736842,18.990764144894687,0.8530130466973973
Q de Kock,50,29.78,25.425593726136082,0.8537808504411041
MEK Hussey,58,34.08620689655172,29.156735842838682,0.8553822351465067
DR Smith,88,27.102272727272727,23.219116070539346,0.856722102393066
KD Karthik,162,22.765432098765434,19.50491042167261,0.8567775185224952
E Lewis,16,29.0,24.883729623993265,0.8580596422066643
G Gambhir,151,27.966887417218544,24.125896796746037,0.8626593455620771
BJ Hodge,63,22.22222222222222,19.18201816255345,0.8631908173149053
KC Sangakkara,68,24.808823529411764,21.426902711061363,0.8636807257570673
AD Russell,52,27.78846153846154,24.094858729500164,0.8670814214076183
Ishan Kishan,33,21.545454545454547,18.84159446061245,0.874504384247835
JH Kallis,95,25.54736842105263,22.427551644982422,0.8778810903474784
MK Tiwary,83,20.44578313253012,17.96694323123291,0.878760334821645
DA Miller,77,24.350649350649352,21.543570437705412,0.8847226259751022
AT Rayudu,138,24.10144927536232,21.340578479860202,0.8854479345221611
AM Rahane,132,29.166666666666668,25.881163142292596,0.8873541648786033
KA Pollard,132,21.09090909090909,18.72070925185357,0.8876198352171952
KK Nair,63,23.333333333333332,20.80322555635032,0.8915668095578709
SS Iyer,61,28.098360655737704,25.208269091730447,0.8971437658083765
RG Sharma,182,27.0,24.33445593918946,0.901276145895906
M Vohra,45,22.57777777777778,20.412216583668364,0.9040843959301932
AB de Villiers,142,31.183098591549296,28.344791938678057,0.908979325946767
RR Pant,54,33.18518518518518,30.199384021004107,0.9100260809900792
YK Pathan,153,21.18300653594771,19.709214352047546,0.9304257315221458
SV Samson,88,25.397727272727273,23.72182649474117,0.9340137501285113
CH Gayle,124,36.774193548387096,34.46450718408592,0.9371927392163715
JR Hopes,19,21.94736842105263,20.595235922175263,0.9383920444156595
OA Shah,22,23.0,21.589238942010855,0.9386625626961241
TM Dilshan,50,23.06,21.940001674325092,0.951431122043586
S Badrinath,65,22.16923076923077,21.095444732489966,0.9515641274197417
AC Gilchrist,80,25.8625,24.645714316635562,0.9529517377142798
DPMD Jayawardene,78,23.17948717948718,22.15807647293313,0.955934715093354
M Vijay,102,25.392156862745097,24.309537248628928,0.9573640151969695
AJ Finch,73,23.89041095890411,22.96891718765192,0.9614282997124943
SC Ganguly,56,24.089285714285715,23.21933112004602,0.963886243678708
MK Pandey,119,24.134453781512605,23.27322036006041,0.9643151890136451
ST Jayasuriya,30,25.6,25.026330961195853,0.977591053171713
JEC Franklin,16,20.4375,19.97988571872555,0.977609087154767
SR Watson,130,27.8,27.356503697907804,0.9840468956081944
RA Tripathi,33,23.363636363636363,23.006545511302573,0.984715955736686
RS Bopara,22,24.136363636363637,23.779333673522267,0.9852077981496984
BB McCullum,109,26.541284403669724,26.832999345779214,1.010990988140316
P Shaw,25,24.64,24.929701161466017,1.0117573523322247
GC Smith,29,25.482758620689655,25.820286445317112,1.0132453408852453
S Gill,23,22.47826086956522,22.97799256446242,1.0222317775292757
HM Amla,16,36.0625,37.48683102103991,1.0394961808260634
BA Stokes,32,20.21875,21.050989364535965,1.0411617614608206
CL White,45,21.57777777777778,22.584677920388344,1.0466637553218079
V Sehwag,104,26.23076923076923,27.529059939455102,1.049494953703567
JD Ryder,29,20.82758620689655,22.28239049357978,1.0698498746917444
MS Bisla,39,20.46153846153846,22.956304206775272,1.121924641684506
GJ Maxwell,67,20.940298507462686,24.49296782010739,1.1696570519937242
PC Valthaty,23,21.956521739130434,28.985071801735785,1.3201121810691547
